,Net m²,Brüt m²,Binadaki Kat Sayısı,Isıtma Tipi,Bulunduğu Kat,Bina Yaşı,Mobilya Durumu,Kullanım Durumu,Krediye Uygun,Hayvan Dostu Patili Evler,Ada,Parsel,Listing No,Gross m²,Heating Type,Floor,Age of the Building,Usage Status,Maintenance Fee,Rental Income,Suitable for Bank Loan,Number of Rooms,Number of Bathrooms,Number of Floors of the Building,Status of the Property,House Type,"Video Home Tour
                                                                ?",Furnishing Status,Unit Exchange,Title Deed Status,From Whom,Pet Friendly Paws Houses,Fiyat,İl,İlçe,Mahalle,Oda
4614,130,145m²,6,Klima,4,0,Eşyalı (Mobilyalı),Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2050000,İstanbul,Beylikdüzü,Kavaklı, 3 + 1 
4615,100,120m²,4,Kalorifer (Doğalgaz),1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1750000,İstanbul,Beylikdüzü,Kavaklı, 2 + 1 
4616,115,125m²,5,Kombi (Doğalgaz),Yüksek Giriş,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1139000,İstanbul,Beylikdüzü,Yakuplu, 2 + 1 
4617,125,130m²,10,Kombi (Doğalgaz),,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1389000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4618,95,125m²,4,Kombi (Doğalgaz),2,6-10 arası,Eşyasız,Mülk Sahibi,Hayır,,,,,,,,,,,,,,,,,,,,,,,,4250000,İstanbul,Beylikdüzü,Kavaklı, 2 + 1 
4619,90,100m²,5,Kombi (Doğalgaz),4,5,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,899900,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4620,150,160m²,8,Güneş Enerjisi,4,0,Sadece Beyaz Eşya,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,5763000,İstanbul,Beylikdüzü,Adnan Kahveci, 2 + 1 
4621,180,220m²,10,Kombi (Doğalgaz),3,3,Eşyasız,,Evet,,,,,,,,,,,,,,,,,,,,,,,,5850000,İstanbul,Beylikdüzü,Marmara, 4 + 1 
4622,130,170m²,8,Merkezi Sistem,,6-10 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,5200000,İstanbul,Beylikdüzü,Kavaklı, 3 + 1 
4623,85,100m²,5,Kombi (Doğalgaz),Bahçe katı,4,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2000000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4624,115,130m²,4,Kombi (Doğalgaz),Bahçe katı,1,,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,969000,İstanbul,Beylikdüzü,Cumhuriyet, 3 + 1 
4625,120,130m²,6,Kombi (Doğalgaz),2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2199000,İstanbul,Beylikdüzü,Cumhuriyet, 3 + 1 
4626,90,100m²,5,Kombi (Doğalgaz),Giriş Katı,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,880000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4627,100,115m²,5,Kombi (Doğalgaz),3,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1185000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4628,100,110m²,5,Kombi (Doğalgaz),2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1100000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4629,130,150m²,10-20 arası,Kombi (Doğalgaz),6,3,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1775000,İstanbul,Beylikdüzü,Cumhuriyet, 3 + 1 
4630,135,145m²,10-20 arası,Kombi (Doğalgaz),4,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1850000,İstanbul,Beylikdüzü,Cumhuriyet, 3 + 1 
4631,135,140m²,6,Kombi (Doğalgaz),3,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1340000,İstanbul,Beylikdüzü,Cumhuriyet, 3 + 1 
4632,150,170m²,10-20 arası,Kombi (Doğalgaz),11,11-15 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,2975000,İstanbul,Beylikdüzü,Adnan Kahveci, 3 + 1 
4633,92,106m²,20 ve üzeri,Merkezi Sistem,6,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1300000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4634,115,125m²,9,Kalorifer (Doğalgaz),4,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1650000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4635,115,125m²,9,Kalorifer (Doğalgaz),4,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1750000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4636,95,105m²,6,Kombi (Doğalgaz),Giriş Katı,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1700000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4637,90,100m²,5,Kombi (Doğalgaz),Yüksek Giriş,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1200000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4638,100,120m²,5,Kombi (Doğalgaz),3,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1375000,İstanbul,Beylikdüzü,Cumhuriyet, 3 + 1 
4639,110,120m²,5,Yerden Isıtma,,0,Eşyalı (Mobilyalı),Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2999000,İstanbul,Beylikdüzü,Adnan Kahveci, 2 + 1 
4640,100,120m²,10-20 arası,Kombi (Doğalgaz),6,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1450000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4641,135,140m²,5,Kombi (Doğalgaz),1,,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1386000,İstanbul,Beylikdüzü,Cumhuriyet, 3 + 1 
4642,130,140m²,10,Kombi (Doğalgaz),4,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1450000,İstanbul,Beylikdüzü,Cumhuriyet, 3 + 1 
4643,140,170m²,4,Merkezi Sistem (Isı Payı Ölçer),4,4,Eşyasız,,Evet,,,,,,,,,,,,,,,,,,,,,,,,3945000,İstanbul,Beylikdüzü,Adnan Kahveci, 3 + 1 
4644,120,135m²,6,,4,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2099000,İstanbul,Beylikdüzü,Cumhuriyet, 3 + 1 
4645,157,177m²,4,Kombi (Doğalgaz),4,0,,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,6100000,İstanbul,Beylikdüzü,Kavaklı, 3 + 2 
4646,140,145m²,10-20 arası,Kalorifer (Doğalgaz),3,6-10 arası,Eşyasız,Boş,Evet,Evet,,,,,,,,,,,,,,,,,,,,,,,3750000,İstanbul,Beylikdüzü,Barış, 3 + 1 
4647,115,125m²,4,Kombi (Doğalgaz),1,0,,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1489000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4648,70,82m²,10-20 arası,Merkezi Sistem,18,5,,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,939000,İstanbul,Beylikdüzü,Cumhuriyet, 1 + 1 
4649,110,120m²,4,Kombi (Doğalgaz),2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2110000,İstanbul,Beylikdüzü,Kavaklı, 2 + 1 
4650,110,120m²,5,Yerden Isıtma,3,0,Eşyalı (Mobilyalı),Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1999000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4651,250,260m²,5,Kombi (Doğalgaz),5,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,8600000,İstanbul,Beylikdüzü,Kavaklı, 5 + 2 
4652,130,140m²,5,Kombi (Doğalgaz),2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1350000,İstanbul,Beylikdüzü,Cumhuriyet, 3 + 1 
4653,110,120m²,5,Kombi (Doğalgaz),3,3,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,889000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4654,102,112m²,5,Kombi (Doğalgaz),2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1200000,İstanbul,Beylikdüzü,Yakuplu, 2 + 1 
4655,100,130m²,5,Kombi (Doğalgaz),2,0,,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,4420000,İstanbul,Beylikdüzü,Marmara, 3 + 1 
4656,120,140m²,5,Kombi (Doğalgaz),2,4,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2650000,İstanbul,Beylikdüzü,Dereağzı, 3 + 1 
4657,200,220m²,10-20 arası,Kombi (Doğalgaz),4,2,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,4500000,İstanbul,Beylikdüzü,Adnan Kahveci, 4 + 1 
4658,120,140m²,5,Kombi (Doğalgaz),4,6-10 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2750000,İstanbul,Beylikdüzü,Adnan Kahveci, 3 + 1 
4659,110,130m²,,,,,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,1450000,İstanbul,Beylikdüzü,Kavaklı, 2 + 1 
4660,200,210m²,5,Merkezi Sistem (Isı Payı Ölçer),Çatı Katı,6-10 arası,Eşyasız,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,4000000,İstanbul,Beylikdüzü,Gürpınar, 5 + 2 
4661,110,115m²,6,Kombi (Doğalgaz),1,5,,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2100000,İstanbul,Beylikdüzü,Kavaklı, 2 + 1 
4662,110,120m²,20 ve üzeri,Kombi (Doğalgaz),4,4,,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2250000,İstanbul,Beylikdüzü,Yakuplu, 2 + 1 
4663,100,110m²,4,Kalorifer (Doğalgaz),Bahçe katı,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1570000,İstanbul,Beylikdüzü,Kavaklı, 2 + 1 
4664,125,130m²,,Kombi (Doğalgaz),Bahçe katı,6-10 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,785999,İstanbul,Beylikdüzü,Cumhuriyet, 3 + 1 
4665,100,130m²,5,Kombi (Doğalgaz),3,0,,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,4680000,İstanbul,Beylikdüzü,Marmara, 3 + 1 
4666,135,150m²,4,Kombi (Doğalgaz),1,1,,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1237000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 2 
4667,180,244m²,3,Kombi (Doğalgaz),En Üst Kat,5,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2800000,İstanbul,Beylikdüzü,Yakuplu, 4 + 2 
4668,145,165m²,4,Kombi (Doğalgaz),2,6-10 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,5700000,İstanbul,Beylikdüzü,Adnan Kahveci, 3 + 1 
4669,135,155m²,4,Kombi (Doğalgaz),3,11-15 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,3200000,İstanbul,Beylikdüzü,Yakuplu, 3 + 1 
4670,100,110m²,5,Kombi (Doğalgaz),Yüksek Giriş,0,Eşyasız,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,999000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4671,85,95m²,4,Kombi (Doğalgaz),Bahçe katı,5,,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,689000,İstanbul,Beylikdüzü,Beylikdüzü OSB, 1 + 1 
4672,220,250m²,5,Kombi (Doğalgaz),Çatı Katı,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,4750000,İstanbul,Beylikdüzü,Adnan Kahveci, 6 + 2 
4673,155,170m²,5,Kombi (Doğalgaz),Giriş Katı,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,799900,İstanbul,Beylikdüzü,Beylikdüzü OSB, 4 + 1 
4674,145,150m²,6,Kombi (Doğalgaz),2,5,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2000000,İstanbul,Beylikdüzü,Kavaklı, 3 + 1 
4675,100,110m²,5,Kombi (Doğalgaz),2,6-10 arası,Eşyasız,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,1400000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4676,75,85m²,4,Kombi (Doğalgaz),1,6-10 arası,,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,975000,İstanbul,Beylikdüzü,Beylikdüzü OSB, 1 + 1 
4677,95,110m²,5,Kombi (Doğalgaz),2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2950000,İstanbul,Beylikdüzü,Gürpınar, 2 + 1 
4678,190,200m²,4,Combi Boiler (Natural Gas),4,0,Unfurnished,Vacant,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,2650000,İstanbul,Beylikdüzü,Yakuplu, 4 + 2 
4679,80,90m²,5,Kombi (Doğalgaz),Bahçe katı,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,900000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4680,100,110m²,5,Kombi (Doğalgaz),2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2025000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4681,145,160m²,10-20 arası,Merkezi Sistem (Isı Payı Ölçer),2,11-15 arası,Eşyalı (Mobilyalı),Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3920000,İstanbul,Beylikdüzü,Barış, 3 + 1 
4682,145,160m²,10-20 arası,Merkezi Sistem,3,6-10 arası,Eşyalı (Mobilyalı),Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3920000,İstanbul,Beylikdüzü,Barış, 3 + 1 
4683,110,120m²,4,Klima,1,0,Sadece Beyaz Eşya,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2900000,İstanbul,Beylikdüzü,Kavaklı, 2 + 1 
4684,250,275m²,4,Klima,3,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3250000,İstanbul,Beylikdüzü,Kavaklı, 3 + 2 
4685,110,130m²,4,Klima,2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2950000,İstanbul,Beylikdüzü,Kavaklı, 2 + 1 
4686,270,280m²,4,Kombi (Doğalgaz),3,6-10 arası,Eşyasız,Boş,Evet,Evet,,,,,,,,,,,,,,,,,,,,,,,2500000,İstanbul,Beylikdüzü,Yakuplu, 5 + 2 
4687,75,90m²,5,Kombi (Doğalgaz),2,11-15 arası,,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,2200000,İstanbul,Beylikdüzü,Yakuplu, 2 + 1 
4688,95,100m²,5,Kombi (Doğalgaz),Giriş Katı,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,850000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4689,95,100m²,5,Kombi (Doğalgaz),Yüksek Giriş,0,Eşyasız,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,1685000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4690,90,95m²,5,Kombi (Doğalgaz),Kot 4,4,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2050000,İstanbul,Beylikdüzü,Kavaklı, 2 + 1 
4691,100,120m²,6,Kombi (Doğalgaz),3,0,Eşyasız,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,1200000,İstanbul,Beylikdüzü,Yakuplu, 2 + 1 
4692,100,120m²,5,Kombi (Doğalgaz),3,0,Eşyasız,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,1350000,İstanbul,Beylikdüzü,Yakuplu, 2 + 1 
4693,90,105m²,4,Kombi (Doğalgaz),2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1200000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4694,200,210m²,,,,,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,2000000,İstanbul,Beylikdüzü,Yakuplu, 3 + 1 
4695,68,79m²,10,Kombi (Doğalgaz),7,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,930000,İstanbul,Beylikdüzü,Cumhuriyet, 1 + 1 
4696,240,330m²,5,Kombi (Doğalgaz),1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,21200000,İstanbul,Beylikdüzü,Marmara, 4 + 1 
4697,315,400m²,5,Kombi (Doğalgaz),1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,37050000,İstanbul,Beylikdüzü,Marmara, 5 + 2 
4698,95,105m²,5,Kombi (Doğalgaz),2,0,Eşyasız,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,1200000,İstanbul,Beylikdüzü,Yakuplu, 2 + 1 
4699,140,150m²,5,Kombi (Doğalgaz),Yüksek Giriş,0,,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,999000,İstanbul,Beylikdüzü,Cumhuriyet, 3 + 1 
4700,60,70m²,7,Kombi (Doğalgaz),6,6-10 arası,,Kiracılı,Hayır,,,,,,,,,,,,,,,,,,,,,,,,2750000,İstanbul,Beylikdüzü,Barış, 1 + 1 
4701,120,140m²,10-20 arası,Kombi (Doğalgaz),13,21-25 arası,,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,3200000,İstanbul,Beylikdüzü,Adnan Kahveci, 3 + 1 
4702,125,130m²,5,Kombi (Doğalgaz),2,1,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2750000,İstanbul,Beylikdüzü,Yakuplu, 3 + 1 
4703,120,130m²,6,Kombi (Doğalgaz),1,6-10 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1490000,İstanbul,Beylikdüzü,Cumhuriyet, 3 + 1 
4704,110,135m²,9,Kombi (Doğalgaz),6,16-20 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2900000,İstanbul,Beylikdüzü,Cumhuriyet, 3 + 1 
4705,120,135m²,9,Kombi (Doğalgaz),3,11-15 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,6250000,İstanbul,Beylikdüzü,Marmara, 3 + 1 
4706,110,127m²,5,Kombi (Doğalgaz),Bahçe katı,11-15 arası,Eşyasız,Mülk Sahibi,Evet,Evet,,,,,,,,,,,,,,,,,,,,,,,3500000,İstanbul,Beylikdüzü,Adnan Kahveci, 2 + 1 
4707,130,150m²,8,Kombi (Doğalgaz),4,16-20 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,2500000,İstanbul,Beylikdüzü,Barış, 3 + 1 
4708,100,120m²,5,Kombi (Doğalgaz),Giriş Katı,4,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2250000,İstanbul,Beylikdüzü,Yakuplu, 2 + 1 
4709,260,300m²,4,Kombi (Doğalgaz),4,6-10 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,4000000,İstanbul,Beylikdüzü,Kavaklı, 5 + 2 
4710,110,150m²,4,Kombi (Doğalgaz),Bahçe katı,5,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3600000,İstanbul,Beylikdüzü,Adnan Kahveci, 2 + 1 
4711,100,110m²,4,Kombi (Doğalgaz),2,6-10 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2200000,İstanbul,Beylikdüzü,Kavaklı, 2 + 1 
4712,80,90m²,5,Kombi (Doğalgaz),5,5,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3000000,İstanbul,Beylikdüzü,Kavaklı, 2 + 1 
4713,120,160m²,3,,1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3790000,İstanbul,Beylikdüzü,Kavaklı, 3 + 1 
4714,135,155m²,5,Klima,1,0,Sadece Beyaz Eşya,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3900000,İstanbul,Beylikdüzü,Adnan Kahveci, 3 + 1 
4715,150,170m²,6,Kombi (Doğalgaz),1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3150000,İstanbul,Beylikdüzü,Adnan Kahveci, 3 + 1 
4716,120,135m²,3,Klima,1,0,Sadece Beyaz Eşya,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2850000,İstanbul,Beylikdüzü,Kavaklı, 3 + 1 
4717,125,140m²,4,Kombi (Doğalgaz),1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3600000,İstanbul,Beylikdüzü,Sahil, 3 + 1 
4718,180,220m²,10-20 arası,Kombi (Doğalgaz),2,3,Eşyalı (Mobilyalı),Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,6000000,İstanbul,Beylikdüzü,Kavaklı, 4 + 1 
4719,120,140m²,3,Kombi (Doğalgaz),1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3250000,İstanbul,Beylikdüzü,Dereağzı, 3 + 1 
4720,90,100m²,4,Klima,3,3,Sadece Beyaz Eşya,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2150000,İstanbul,Beylikdüzü,Kavaklı, 2 + 1 
4721,138,155m²,4,Klima,2,6-10 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3380000,İstanbul,Beylikdüzü,Adnan Kahveci, 3 + 1 
4722,85,95m²,10-20 arası,Kombi (Doğalgaz),4,2,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3250000,İstanbul,Beylikdüzü,Adnan Kahveci, 2 + 1 
4723,90,100m²,3,Kombi (Doğalgaz),Bahçe katı,4,Sadece Beyaz Eşya,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2250000,İstanbul,Beylikdüzü,Kavaklı, 2 + 1 
4724,120,135m²,3,Klima,1,0,Sadece Beyaz Eşya,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2220000,İstanbul,Beylikdüzü,Kavaklı, 2 + 1 
4725,100,115m²,5,Kombi (Doğalgaz),3,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,899900,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4726,100,130m²,5,Kombi (Doğalgaz),1,0,,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,4160000,İstanbul,Beylikdüzü,Marmara, 3 + 1 
4727,115,120m²,4,Kalorifer (Doğalgaz),Zemin Kat,4,Eşyasız,Boş,Evet,Evet,,,,,,,,,,,,,,,,,,,,,,,1147000,İstanbul,Beylikdüzü,Beylikdüzü OSB, 1 + 1 
4728,70,80m²,5,Kombi (Doğalgaz),1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,975000,İstanbul,Beylikdüzü,Cumhuriyet, 1 + 1 
4729,100,110m²,5,Kombi (Doğalgaz),2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1345000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4730,180,200m²,4,Kombi (Doğalgaz),Çatı Katı,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3190000,İstanbul,Beylikdüzü,Yakuplu, 3 + 2 
4731,75,80m²,10-20 arası,Kombi (Doğalgaz),4,0,Eşyasız,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,3300000,İstanbul,Beylikdüzü,Cumhuriyet, 1 + 1 
4732,110,125m²,5,Kombi (Doğalgaz),2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3250000,İstanbul,Beylikdüzü,Kavaklı, 2 + 1 
4733,100,120m²,1,Kombi (Doğalgaz),Kot 1,,Eşyasız,Mülk Sahibi,Hayır,,,,,,,,,,,,,,,,,,,,,,,,4200000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4734,120,146m²,6,Kombi (Doğalgaz),1,0,Eşyasız,Boş,Evet,Evet,,,,,,,,,,,,,,,,,,,,,,,1650000,İstanbul,Beylikdüzü,Cumhuriyet, 3 + 1 
4735,100,120m²,4,Klima,2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1950000,İstanbul,Beylikdüzü,Kavaklı, 2 + 1 
4736,100,110m²,5,Klima,Bahçe katı,0,Sadece Beyaz Eşya,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,795000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
4737,125,135m²,5,Kombi (Doğalgaz),Bahçe katı,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,845000,İstanbul,Beylikdüzü,Cumhuriyet, 3 + 1 
4738,90,95m²,5,Kombi (Doğalgaz),2,4,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,3000000,İstanbul,Beylikdüzü,Kavaklı, 2 + 1 
4739,110,120m²,5,Kombi (Doğalgaz),2,0,Eşyalı (Mobilyalı),Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1599000,İstanbul,Beylikdüzü,Yakuplu, 2 + 1 
4740,120,140m²,8,Kombi (Doğalgaz),3,0,Eşyasız,,Evet,,,,,,,,,,,,,,,,,,,,,,,,860000,İstanbul,Beylikdüzü,Beylikdüzü OSB, 3 + 1 
4741,160,190m²,10,Kombi (Doğalgaz),3,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,5500000,İstanbul,Beylikdüzü,Yakuplu, 3 + 1 
4742,110,130m²,6,Kombi (Doğalgaz),3,0,Eşyasız,,Evet,Evet,,,,,,,,,,,,,,,,,,,,,,,820000,İstanbul,Beylikdüzü,Kavaklı, 2 + 1 
4743,100,120m²,6,Kombi (Doğalgaz),3,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,950000,İstanbul,Beylikdüzü,Kavaklı, 2 + 1 
4744,160,180m²,7,Yerden Isıtma,Çatı Katı,0,Eşyasız,Boş,Evet,Evet,,,,,,,,,,,,,,,,,,,,,,,4600000,İstanbul,Beylikdüzü,Gürpınar, 4 + 2 
4745,110,125m²,7,,4,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1650000,İstanbul,Beylikdüzü,Cumhuriyet, 2 + 1 
